标题,链接,排名,反链数,简介
中国大学网,/Html/site_unjs.com.html,9570,399,网站简介：中国大学网(www.unjs.com)，包含大学排名、世界及全国高校排名、大学网址导航等；中国大学网站同时提供高考、中考、考研、公务员考试、资格考试、自考、作文、个人工作总结...
精英家教网,/Html/site_1010jiajiao.com.html,5197,226,"网站简介：专业家教网站，能够提供语文，
数学，英语，物理，化学等学科以及奥数，小提琴，钢琴，书法，计算机
等全方位的家庭教育服务。为广大学员提供各学科的兼职家教老师和专职家..."
考研网,/Html/site_kaoyan.com.html,8852,1226,网站简介：考研网（考研帮）成立于2000年，一直是中国领先的考研交流平台和研究生招生信息网络发布平台。...
超星网,/Html/site_chaoxing.com.html,290,732,网站简介：超星网为渴求知识的网友提供有价值内容的互动学习平台，拥有国内多的学术视频、教育视频共13万余集，并提供超星电子书在线阅读和下载服务。...
考试资料网,/Html/site_ppkao.com.html,1492,168,网站简介：考试资料网目前已为广大考友提供8万套在线试卷进行全真测试、模拟练习，同时提供公务员，外语类，财会类，建筑类，职业资格，学历考试，医药类，外贸类，计算机类等考试相关...
扎客,/Html/site_myzaker.com.html,1930,132,网站简介：AKER，中文名扎客，是iPhone上的免费互动分享社区软件。将微博、博客、报纸杂志、网络新闻、图片、RSS、google reader等众多内容，按照用户个人的意愿聚合到一款软件上。用...
青云在线翻译网,/Html/site_zaixian-fanyi.com.html,11489,212,网站简介：青云在线翻译网（www.zaixian-fanyi.com），提供英语，荷兰语，法语，德语，希腊语，意大利语，日语，韩语，葡萄牙语，俄语，西班牙语的免费在线翻译服务。...
诗词名句网,/Html/site_shicimingju.com.html,18789,382,网站简介：诗词名句网（www.shicimingju.com）古诗词大全|诗歌|诗词鉴赏|古诗名句|诗句赏析！...
法语在线辞典,/Html/site_frdic.com.html,12776,149,"网站简介：法语在线词典,提供法汉、汉法在线翻译,法语动词变位查询,支持真人发音,由权威的法语学习工具《法语助手》免费提供,Dictionnaire Fran鏰is Chinois en ligne...."
人人文库,/Html/site_renrendoc.com.html,1446,8,"网站简介：人人文库(renrendoc.com)是一个在线文档分享平台。你可以上传论文,设计图纸,研究报告,设计标准,策划管理方案,电子书等电子文档，可以自由交换文档，还可以分享新的行业资讯..."
小站教育,/Html/site_zhan.com.html,36948,211,网站简介：【小站教育】出国留学语言培训和备考资料，专注托福培训、雅思培训、sat、gre、gmat等出国留学语言培训和备考复习资料、考试指南、高分经验等，出国留学语言培训一站式留学...
搜搜问问,/site_wenwen.soso.com.html,310,2987,网站简介：搜狗旗下的互动问答社区，用户可以提出问题、解决问题、或者搜索其他用户沉淀的精彩内容；在这里可以感受到热烈的互助气氛，浏览到精彩的问答内容。...
德语助手,/Html/site_godic.net.html,8866,34,"网站简介：德语助手,德语翻译软件,德语学习,德汉字典,德语词典,动词变位,德语发音,德语输入法,德语背单词..."
词典网,/site_www.cidianwang.com.html,12761,183,网站简介：词典网 CiDianWang.com 提供丰富的字典，词典查询，是中小学生学习国学、书法、外语的好工具。在词典网您可以查新华字典、康熙字典、书法字典、英汉词典、韩语词典、日语词...
学科网,/Html/site_zxxk.com.html,1427,2694,"网站简介：中学学科网，是一家专业为中考、高考提供教学资源服务的网站，网站拥有试题、试卷、课件、教案等教学资源近200多万套,内容涵盖初中、高中九大学科，每日更新教学资料2000多..."
学信网,/site_www.chsi.com.cn.html,283,17436,网站简介：中国高等教育学生信息网(简称：学信网 www.chsi.com.cn)是教育部指定的电子政务平台。依托全国高等学校学生信息咨询与就业指导中心建立了集高校招生、学籍学历、毕业生就业...
有途网,/Html/site_ccutu.com.html,10566,404,网站简介：有途高考网是国内知名的高考资讯网站，由长春工大网络部于2009年12月份创建，因域名为ccutu.com，故取域名后三位utu音译中文名“有途”，意为通过本网站实现每位考生的光明...
沪江英语,/Html/site_hjenglish.com.html,2520,4460,网站简介：沪江英语是沪江旗下英语学习资讯网站，是国内具有亲和力的英语学习网站之一，专注于打造人气的英语学习交流互动网站，为全国数千万英语学习者提供专业服务。...
零二七艺考,/Html/site_027art.com.html,20530,328,网站简介：全国知名艺考服务平台！零二七艺考创立于2008年，以优质的体验受到了全国艺术生、艺考教师、艺考培训机构、艺术院校及艺考家长的喜爱。学艺术，考好大学，就用零二七艺考！...
谷歌翻译,/site_translate.google.cn.html,80,2580,网站简介：Google 免费的在线翻译服务可即时翻译文本和网页。...
高考网,/Html/site_gaokao.com.html,28589,1394,网站简介：高考网依托好未来教育强大的教学资源，已实现优秀教学资源共享为己任，建立的适用于高中生学习和交流的专业平台。免费提供2018高考成绩查询功能、新高考政策解读、学习资料...
万方数据知识服务平台,/Html/site_wanfangdata.com.cn.html,902,2186,网站简介：万方数据知识服务平台（www.wanfangdata.com.cn）。...
第一PPT,/Html/site_1ppt.com.html,2189,174,网站简介：第一PPT模板网提供各类PPT模板免费下载，PPT背景图片，PPT素材，PPT模板下载，PPT下载，幻灯片背景图片大全，幻灯片模板下载，幻灯片下载，幻灯片素材，PowerPoint模版免费...
欧路词典 ,/Html/site_eudic.net.html,13818,15,网站简介：欧路词典 专为苹果OS X系统开发语词典软件，支持加载Mdict、灵格斯等众多格式的扩充词库...
菜鸟教程,/Html/site_runoob.com.html,224,0,"网站简介：菜鸟教程(www.runoob.com)提供了编程的基础技术教程, 介绍了html、css、javascript、python，java，ruby，c，php , mysql等各种编程语言的基础知识。 同时本站中也提供了大..."
东奥会计在线,/Html/site_dongao.com.html,7586,1513,"网站简介：东奥会计在线是国内知名大型会计远程教育网校,提供注册会计师考试培训,初级、中级会计职称考试培训,注册税务师考试培训,会计继续教育培训,从业资格考试辅导。另外提供各类考..."
新航道,/Html/site_xhd.cn.html,51168,970,网站简介：新航道国际教育集团—中国英语培训领导品牌，提供雅思、托福、SAT、AP出国考试培训、留学中介服务，外教口语、剑桥青少、个性化学习、派乐多少儿英语、在线网校、冬夏令营、...
有道翻译,/site_fanyi.youdao.com.html,122,968,网站简介：有道翻译提供即时免费的中、英、日、韩、法文全文翻译、网页翻译服务。...
北京大学,/Html/site_pku.edu.cn.html,733,4883,网站简介：北京大学作为国内前茅的文理医工综合性大学，在培养高素质创新型人才、取得突破性科研进展，以及为国民经济发展和社会进步提供智力支持等方面都发挥着极其重要的作用。...
重庆大学,/Html/site_cqu.edu.cn.html,8234,653,网站简介：重庆大学是教育部直属的全国重点大学，是国家“211工程”和“985工程”重点建设的高水平研究型综合性大学。学校地处国家西南工商业重镇、长江上游经济中心——重庆市，坐落...
中华会计网校,/Html/site_chinaacc.com.html,5516,3652,网站简介：中华会计网校是权威专业的会计门户网站，美国纽交所上市公司，会计培训著名品牌！常年从事初级会计职称，中级会计职称，注册会计师，注册税务师，资产评估师，高会，经济师...
中国科学技术大学,/Html/site_ustc.edu.cn.html,1229,1201,网站简介：中国科学技术大学官方网站，中国科学技术大学是全国首批7所“211工程”和首批9所“985工程”建设的高校之一，是中科院知识创新工程重点建设院校，是我国唯一拥有两个国家实...
复旦大学,/Html/site_fudan.edu.cn.html,1235,2228,网站简介：复旦大学官方网站，复旦大学是中央部属、教育部与上海市共建的首批全国重点大学，是国家 “六五”、“七五”、“八五”重点建设、全国首批7所211工程、9所985工程重中之重建...
四川大学,/Html/site_scu.edu.cn.html,2760,980,网站简介：四川大学（Sichuan University），简称“川大”，是中国“985工程”和“211工程”重点建设的大学之一，首批入选“2011计划”、“珠峰计划”、“111计划”、“卓越计划”的高...
知网空间,/Html/site_cnki.com.cn.html,2048,203,网站简介：知网空间是中国知网旗下网站，面向海内外读者提供基础科学、文史哲、工程科技、社会科学、农业、经济与管理科学、医药卫生、信息科技等十大领域的期刊全文、会议论文全文、...
课堂作文网,/Html/site_kt250.com.html,83242,118,网站简介：课堂作文网是一个专业的、集投稿与参考为一体的中小学生作文大全网，提供优秀原创的小学生作文、初中作文。包括话题作文、写事作文、写人作文、动物作文、植物作文、日记周...
 趣历史网,/Html/site_qulishi.com.html,15878,112,"网站简介：趣历史是国内好的历史网站,一个历史知识的百科大全。趣历史专注于搜集整理各朝代人物、战争、野史、文化等全方面历史知识,以及环球各个国家历史文化,为您提供全面的历史知识..."
奥鹏教育,/Html/site_open.com.cn.html,10533,480,网站简介：奥鹏教育天天向上...
中国农业大学,/Html/site_cau.edu.cn.html,11246,871,网站简介：中国农业大学是国家“211工程”和“985工程”重点建设的教育部直属高校。...
21世纪教育网,/Html/site_21cnjy.com.html,15065,699,网站简介：国内排名前列的中小学教育资源站，提供全国中小学各版本教材的课件，教案，学案，备课素材、测试练习等资源下载。资源多、时效强、质量高，是中小学老师学生们的佳选择...
中国军网,/Html/site_81.cn.html,11054,804,网站简介：中国军网是经中央军委批准的中国人民解放军唯一新闻门户网站，第一时间向全球网民发布权威军事资讯，追踪军事热点，反映军事动态，介绍国内外新武器发展动态，拥有中国大的...
西南大学,/Html/site_swu.edu.cn.html,11288,519,网站简介：西南大学（southwest university）位于重庆市北碚区缙云山下，是国家211工程 、985工程优势学科创新平台、“111计划”、“2011计划”、“卓越农林人才教育培养计划”、“卓...
乐乐课堂,/Html/site_leleketang.com.html,51508,507,网站简介：乐乐课堂是国内领先的中小学个性化在线教育平台。秉承“每天进步多一点”的教育和产品理念，为数千万海量用户提供优质的学习服务。旗下产品有：面向学生的“天天练”，面向...
中国研究生招生信息网,/site_yz.chsi.com.cn.html,283,1110,网站简介：中国研究生招生信息网是隶属于教育部的以考研为主题的官方网站，是教育部唯一指定的研究生入学考试网上报名及调剂网站，主要提供研究生网上报名及调剂、专业目录查询、在线...
国家教育资源公共服务平台,/Html/site_eduyun.cn.html,5665,1247,网站简介：中华人民共和国教育部主办。...
考试吧,/Html/site_exam8.com.html,19796,3429,"网站简介：考试吧--中国教育培训第一门户,百万考生首选，提供计算机考试、外语考试、资格考试、学历考试、会计考试、工程考试、医学考试类等128种考试信息及培训服务。..."
科学网,/Html/site_sciencenet.cn.html,3360,923,网站简介：科学网是由中国科学院、中国工程院和国家自然科学基金委员会主管，中国科学报社主办的综合性科学网站，主要为网民提供快捷权威的科学新闻报道、丰富实用的科学信息服务以及...
有道词典,/site_dict.youdao.com.html,122,370,网站简介：有道词典在线版（网页版），网易出品。主要功能为：查词典；在线翻译；英汉、汉英、英英、日汉、韩汉、法汉、汉语词典(字典)查询；网络释义；海量例句；单词发音。...
学信网,/site_account.chsi.com.cn.html,283,121,网站简介：中国高等教育学生信息网(简称“学信网”)由全国高等学校学生信息咨询与就业指导中心(以下简称“中心”)主办，由中心控股的学信咨询服务有限公司承办。...
上学吧,/Html/site_shangxueba.com.html,6443,536,网站简介：上学吧（www.shangxueba.com）是全球领先的知识分享与传播平台，为用户提供资料分享、在线测试、网上书店、拜师交友、在线视频教育等服务。...
考研信息网,/Html/site_kaoyan365.cn.html,16634,2487,网站简介：中公考研信息网首发2016考研信息，2016年考研时间，考研复习计划以及各科考研复习信息，为2016年考研学生提供一站式考研辅导服务，考研辅导班首选中公考研。...
淘豆网,/Html/site_taodocs.com.html,14529,64,网站简介：淘豆网(www.taodocs.com)是大型的文档在线销售与分享社区。在这里已经上传了成千上万的文档。来淘豆网，即刻分享销售你的文档。借助淘豆网，你可以为你的文档定价，并通过淘...
中华考试网,/Html/site_examw.com.html,24235,4360,网站简介：中华考试网：提供经济师、会计职称、高级会计师、一级建造师、二级建造师、执业医师、报关员考试等考试的报名时间、考试时间、考试大纲、成绩查询、在线模拟考试等相关资讯...
会计网,/Html/site_kuaiji.com.html,19894,1360,网站简介：会计网(www.kuaiji.com)提供会计基础知识，会计学习方法，会计考试试题及答案，会计从业资格考试报名时间，报名条件，准考证打印，会计上岗证考试科目，会计从业资格证成绩...
教师网,/Html/site_hteacher.net.html,54999,2101,网站简介：教师网（hteacher.net）是中国教师门户网站，提供教师招聘、特岗教师和教师资格证考试的教师考试辅导和教师考试培训；第一时间发布教师资格证、特岗教师、教师招聘考试信息...
作文吧,/Html/site_zuowen8.com.html,86859,146,网站简介：作文吧（www.zuowen8.com），中国大的原创作文平台，快乐作文，伴你成长吧！作文吧是一家专业为全国学生提供免费作文辅导资料的网站，拥有专业的师资团队，10多名语文特级教...
故宫博物院,/Html/site_dpm.org.cn.html,29855,547,网站简介：故宫博物院官方网站（www.dpm.org.cn）。故宫博物院是在明、清两代皇宫及其收藏的基础上建立起来的中国综合性博物馆。...
初中作文网,/site_www.99zuowen.com.html,102816,407,"网站简介：初中作文网涵盖了初中作文,初中作文600字,初中作文500字,初中作文大全的初中生优秀作文网,是广大的初中生学习投稿交流的初中作文网站...."
中国会计网,/Html/site_canet.com.cn.html,17367,779,"网站简介：中国会计网(会计通)是中国会计行业门户,发布会计考试信息,包含初级会计职称,中级会计职称,注册会计师等,以及会计学习,税务政策等知识,提供会计论坛交流,会计实务答疑等服务..."
天涯问答,/site_wenda.tianya.cn.html,355,466,网站简介：天涯社区问答频道...
中国大学MOOC(慕课),/Html/site_icourse163.org.html,379,205,网站简介：中国大学mooc(慕课) 是国内优质的中文mooc学习平台，由爱课程网携手网易云课堂打造。平台拥有包括985高校在内提供的千余门课程，其中首批获得认定的国家精品在线开放课程32...
辞海之家,/site_www.cihai123.com.html,131203,0,网站简介：辞海之家是中国内容最全的在线辞海字典，收录词语超过10万条，我们将继续丰富、更新和完善在线词典，以期更好地帮助用户。...
中国科学院大学,/Html/site_ucas.ac.cn.html,2407,835,网站简介：中国科学院大学（英文名 ：University of Chinese Academy of Sciences），简称&amp;amp;quot;国科大&amp;amp;quot;，是国家教育部正式批准成立的一所以研究生教育为主的科...
公务员考试信息网,/Html/site_sdsgwy.com.html,46723,159,网站简介：公务员考试信息网为国内专业的公务员考试资讯网站，下辖各省市公务员考试分站，事业单位考试分站，教师招聘考试分站，村官招聘考试分站，招聘考试分站，银行招聘考试分站等...
希赛网,/Html/site_educity.cn.html,6934,66,网站简介：...
速学网,/Html/site_suxuewang.com.html,35294,147,网站简介：速学网是英语学习网站，提供在线英语背单词服务的网站，我们拥有一套自主背单词、英语听力、英语演讲系统，让孩子能自创适合自己的英语学习方法，开创新式思维教育。...
MBA智库文档,/site_doc.mbalib.com.html,3079,1121,网站简介：MBA智库文档，领先的管理资源分享平台。分享管理资源，传递管理智慧。...
答案网,/Html/site_zqnf.com.html,28151,75,"网站简介：答案网提供暑假作业答案,寒假作业答案,习题答案,阅读答案,课后答案,脑筋急转弯大全及答案,疯狂猜成语答案大全,谜语大全及答案,面试问题及答案等字谜疯狂猜歌问题答案,是学生..."
会计学堂,/Html/site_acc5.com.html,5450,26,"网站简介：会计学堂致力于会计实操培训,目前拥有100万学员,是国内领先的会计实操培训机构,专注会计培训,会计从业资格证培训,零基础会计培训,会计证培训,会计实战培训班,初级会计职称培..."
维普网,/Html/site_cqvip.com.html,1352,1427,网站简介：维普网-国内独家仓储式作品出版平台，提供各类学术及毕业论文、各类范文，中小学课件、教学资料等各类作品通过上传进行在线投稿，发布后为用户提供下载、同时还有2000多万篇...
教育宝,/Html/site_jiaoyubao.cn.html,195657,914,网站简介：教育宝，中国领先的教育培训平台。汇聚数千家优秀的培训机构与网校，提供全面优质的课程和真实的学员评价。内容涉及英语，会计，建设工程，公务员，艺考，职业资格，公务员...
爱问,/site_iask.sina.com.cn.html,27,756,网站简介：新浪爱问研发的国内第一个中文互动型问答产品。汇聚亿万网民头脑中的智慧、经验和知识，为用户提供发表提问、解答问题、搜索答案、资料下载、词条分享等全方位知识共享服务...
MBA中国网,/Html/site_mbachina.com.html,39717,212,网站简介：mba中国网，中国管理精英成长平台，mba中国网作为中国管理精英成长平台，拥有领先的国际视野，能够洞悉全球商学院发展趋势，为您提供详尽的mba、emba、mpacc、mpa、mem、mf...
中国教师网,/Html/site_zgjsks.com.html,50053,2557,网站简介：中国教师网权威发布2015全国中小学及幼儿园教师资格证考试、教师招聘考试、特岗教师招聘考试信息.包括教师考试报名时间、报名入口、考试题库、考试用书、考试培训、考试成绩...
中国人事考试网,/Html/site_cpta.com.cn.html,4118,1061,网站简介：人力资源和社会保障部人事考试中心主办...
北京交通大学,/Html/site_bjtu.edu.cn.html,4058,764,网站简介：北京交通大学是教育部直属，教育部、中国铁路总公司、北京市人民政府共建的全国重点大学，是国家“211工程”、“985工程优势学科创新平台”项目建设高校和具有研究生院的全...
中考网,/Html/site_zhongkao.com.html,32571,2778,"网站简介：学而思中考网是中考信息门户网站,为广大考生提供：2012年中考、中考报名、2012年中考复习、中考满分作文、中考分数线、2012年中考真题、志愿填报、录取分数线、学习方法等中..."
大家网,/Html/site_topsage.com.html,31387,274,网站简介：大家网（www.topsage.com）是致力于提供在线学习交流、相关资讯和服务的网络媒体平台，拥有强大的外语、财会、计算机、公务员、各类资格考试，及软件，电子书，教程下载 等...
东北大学,/Html/site_neu.edu.cn.html,5487,299,网站简介：东北大学是教育部直属的国家重点大学，坐落在东北中心城市沈阳，是国家首批“211工程”和“985工程”重点建设的学校，并实现教育部、辽宁省、沈阳市重点共建。东北大学始建...
慕课网,/site_www.imooc.com.html,1258,316,网站简介：慕课网（imooc）是it技能学习平台。慕课网(imooc)提供了丰富的移动端开发、php开发、web前端、android开发以及html5等视频教程资源公开课。并且富有交互性及趣味性，你还可...
小学语文教学资源网,/site_xiaoxue.ruiwen.com.html,2355,94,"网站简介：为小学语文教师提供课件教案,教学论文,期中期末试题,小升初试题,教学视频,课本课文朗读,诗歌朗诵等教学资源..."
中国石油大学(华东),/Html/site_upc.edu.cn.html,16137,493,"网站简介：中国石油大学是教育部直属全国重点大学，是国家“211工程”重点建设的高校，是建有研究生院的56所高校之一，也是国家重点支持开展“优势学科创新平台”建设的高校,是石油、..."
智慧树,/Html/site_zhihuishu.com.html,524,40,网站简介：智慧树是全球大型的学分课程运营服务平台，在线教育平台拥有海量大学高品质课程，网络教育在线完美支持跨校授课，学分认证，名师名课名校，在线互动教育学堂，体验vip级课程...
中国考研网,/Html/site_chinakaoyan.com.html,17000,1808,网站简介：中国考研网及其考研论坛是专业的考研信息网站。提供报考资讯、院校专业信息、招生简章、考研专业课试卷、辅导班、考研调剂信息等内容。网址chinakaoyan.com....
华南理工大学,/Html/site_scut.edu.cn.html,16690,594,网站简介：华南理工大学（South China University of Technology），简称华南理工，位于广东省广州市，创建于1952年。是中华人民共和国教育部直属的全国重点大学、首批国家“211工程”...
成语大全,/site_chengyu.t086.com.html,113533,243,网站简介：成语大全，网上的成语词典●包含3万多条成语记录…成语查询服务提供模糊查找，指定位置查找…一些特殊成语，三个字、五个字、六个字、七个字、aabc的成语…智能成语接龙...
233网校,/site_www.233.com.html,11068,1322,网站简介：&amp;quot;考试大网站 提供公务员，外语类，财会类，建筑类，职业资格，学历考试，医药类，外贸类，计算机类等考试的报名时间、考试时间、考试大纲、成绩查询等相关资讯以及...
作文网,/Html/site_zuowen.com.html,114171,824,网站简介：作文网提供专业、原创中小学生作文，包括中考满分作文、高考满分作文、零分作文、优秀作文大全、作文素材、作文辅导、英语作文等，欢迎踊跃投稿。...
配色网,/Html/site_peise.net.html,42724,44,"网站简介：配色网是交流色彩的专业网站,致力于设计,网页,家居,时尚,服饰等方面色彩理论的学习和提高,并提供大量优秀配色方案,为色彩构成学习者提供免费资料..."
南京航空航天大学,/Html/site_nuaa.edu.cn.html,9105,318,网站简介：南京航空航天大学创建于1952年10月，是新中国自己创办的第一批航空高等院校之一。1978年被国务院确定为全国重点大学；1981年经国务院批准成为全国首批具有博士学位授予权的...
华东理工大学,/Html/site_ecust.edu.cn.html,17354,360,网站简介：华东理工大学（East China University of Science and Technology）是中华人民共和国教育部直属的一所具有理工特色，覆盖理、工、农、医、法、管、哲、经、文、史、教育、艺...
